번호,공고명,접수구분,구분,지원사업명,사업개요,날짜,주관부서,지원대상,사업내용
9248,스마트콘텐츠(앱) 관련 기업 대상 홍보물 제작 지원,마감,판로,2016년 스마트콘텐츠 지역 성장거점 구축사업 홍보물 제작 지원사업 추가모집 공고,스마트콘텐츠(앱) 관련 기업 대상 홍보물 제작 지원,2016-07-01 ~ 2016-07-11,"대전정보문화산업진흥원 ICT융합사업단 김상태 주임(042-479-4115, stkim@dicia.or.kr)",대전 소재 스마트콘텐츠(앱) 관련 기업,"ㅇ 사업기간 : 2016년 7월 ~ 9월 / 3개월
 

 ㅇ 지원내용
 
 - 마케팅을 위한 홍보물(카달로그, 브로셔, 동영상 등) 제작비용 지원"
9249,ICT 기업 대상 SW융합 사업화 지원,마감,R&D,2016년 SW융합클러스터사업 SW융합 사업화지원 지원기업 모집,ICT 기업 대상 SW융합 사업화 지원,2016-07-18 ~ 2016-07-19,"대전정보문화산업진흥원 ICT융합사업단 대리 이명희(042-479-4134, mhlee@dicia.or.kr)",대전소재 국방 및 ICT산업 관련 기업,"ㅇ 사업기간 : 협약체결 후 4개월간(2016. 8월 ~ 2016. 11월)
 

 ㅇ 지원내용
 
 - SW융합 R&D; 성과물의 기술이전을 위한 자금지원, 연구소 원천 기술 R&D;의 기업으로의 이전을 위한 자금지원, SW융합 성과물의 민간시장 진출을 위한 테스트베드 지원 등 사업화 지원 선택 또는 일괄지원"
9250,'일본 글로벌사업화협력센터(GCC)' 해외기술이전 사업화 컨설팅 지원,마감,"R&D,판로",2016년 3차 글로벌 기술사업화 컨설팅 지원사업 모집공고,'일본 글로벌사업화협력센터(GCC)' 해외기술이전 사업화 컨설팅 지원,2016-07-04 ~ 2016-07-29,"한국기술벤처재단 정책사업실 성수연 연구원(02-958-6689, eveofeden@kist.re.kr)",대일 기술집약적 제품 수출 및 기술이전 희망 중소ㆍ중견 기업,"ㅇ 지원조건 및 내용
 
 - 일본 진출전략 수립 및 자문
 
 - 기술마케팅 지원프로그램
 
 - 기술사업화 컨설팅
 
 - 거래성사 및 후속지원"
9251,인증사회적기업ㆍ사회적협동조합 대상 경영안정화 자금 융자,마감,자금,2016년 사회적경제기업 융자사업 공고,인증사회적기업ㆍ사회적협동조합 대상 경영안정화 자금 융자,2016-07-04 ~ 2016-12-31,대구지역 (사)커뮤니티와경제 (053-742-9637),대구 권역 소재 인증사회적기업ㆍ사회적협동조합,"ㅇ 대출금액 : 기업 당 5천만 원 한도
 

 ㅇ 대출금리 : 연2%
 

 ㅇ 대출기간 : 3년(36개월)
 

 ㅇ 상황방법 : 월 원리금 균등분할상환"
9252,"(예비)사회적기업 대상 인건비, 사회보험료 지원",마감,인력,2016년 2차 (예비)사회적기업 일자리창출사업 수행기업 신규 선정(모집) 계획,"(예비)사회적기업 대상 인건비, 사회보험료 지원",2016-07-01 ~ 2016-07-20,충남도청 경제산업실 경제정책과(041-635-3326),"충남지역 예비사회적기업, 고용노동부 장관 인증 사회적기업","ㅇ 지원규모 및 내용(일반인력 인건비 및 4대 보험료)
 
 - 지원인원 : 기업당 최소 1인 이상, 최대 50인까지 지원가능
 
 - 지원내용 : ‘최저임금 수준 인건비’ + ‘사업주부담 사회보험료(9.33%)’
 
 - 지원기간 : 지원 개시일부터 ‘12개월’
 
 - 최대지원기간 : 5년"
9253,2016년 2차 충남형 예비사회적기업 신규 지정,마감,판로,2016년 2차 충남형 예비사회적기업 신규 지정계획 공고,2016년 2차 충남형 예비사회적기업 신규 지정,2016-07-01 ~ 2016-07-20,충남도청 경제산업실 경제정책과(041-635-3326),충남 소재의 법인ㆍ조합ㆍ회사ㆍ단체 등,"ㅇ 지정기간 : 지정서 발급일로부터 3년
 

 ㅇ 지원내용
 
 - 일자리창출사업 참여자격 부여
 
 - 사업개발비 지원사업 참여자격 부여
 
 - 경영컨설팅 및 정보제공 등 경영지원
 
 - 공공기관에 예비사회적기업 제품‧서비스 우선구매 홍보 지원
 
 - (예비)사회적기업 아카데미, 제품전시회, 각종 판촉행사 등 참여기회 제공"
9254,초기창업기업 대상 맞춤형 사업화 지원,마감,창업,2016년 창업맞춤형 사업화 지원사업 창업기업 모집(연구원특화형/2회차),초기창업기업 대상 맞춤형 사업화 지원,2016-07-01 ~ 2016-08-25,"창업진흥원 창업사업화부(042-480-4344~9,4367,4376)",3년미만 창업기업,"ㅇ 지원규모 : 10개사 내외
 

 ㅇ 지원기간 : 3년
 

 ㅇ 기본 지원사항
 
 - 사업모델(BM) 개발ㆍ구축 및 경영전략 멘토링
 
 - 사업아이템 검증 및 개발
 
 - 시장진입(개척 및 확대), 네트워킹
 
 - 투자유치 및 자금지원ㆍ연계"
9255,"ICT 중소, 스타트업 대상 해외 인재채용 지원",마감,인력,2016년 ICT스타트업 해외 인재 채용 지원사업 추가모집 공고,"ICT 중소, 스타트업 대상 해외 인재채용 지원",2016-07-01 ~ 2016-08-11,"정보통신산업진흥원 글로벌사업단 글로벌기반팀 서성민 수석(043-931-5574, nuburi@nipa.kr)","1차 모집 공모 마감(‘16년 4월 29일) 이후 해외 전문 인력(해외 국적자) 채용 완료한 국내 ICT 기반의 중소, 스타트업","ㅇ 지원내용 : 해외 우수 인재의 단기채용(인턴쉽), 일반채용 시 인건비 지원
 
 - 단기채용(인턴쉽) : 3개월 이하의 단기 수요에 의한 외국인 채용
 
 - 일반채용 : 1년 이상의 장기 수요에 의한 해외 산업, 기술 전문 외국인 채용
 
 - 지원 관련 유의 사항
 
 ㆍ 대상 인력은 신규 채용에 한하며, 총인건비는 지원 기간 동안 급여의 총액으로 산정
 
 ㆍ 지원기업 당 최대 2명까지 외국인 채용·지원 가능
 
 ㆍ 해외 지사 근무를 위한 채용은 지원 대상에서 제외"
9256,유전체 사업 관련 연구개발비 지원,마감,R&D,2016년 포스트게놈 다부처유전체사업 신규지원 대상과제 공고,유전체 사업 관련 연구개발비 지원,2016-07-22 ~ 2016-08-04,"한국산업기술평가관리원 바이오나노융합팀(053-718-8223,8260)","기업부설연구소를 보유한 중소ㆍ중견기업, 기업, 대학, 연구기관, 외국기관 등","ㅇ 지원대상분야
 
 - 유전체산업 핵심기술 및 유전체 비즈니스화를 통한 신시장 창출이 가능한 분야 지원
 

 ㅇ 사업비 지원 규모 및 기간
 
 - 사업명 : 포스트게놈다부처유전체사업
 
 - 2016년 예산 : 21억원
 

 ㅇ 지원대상 과제 (RFP) 목록
 
 - 유전체 기반 면역항암치료반응 공공DB 구축 및 활용
 
 - 혈액기반 생체 검사를 위한 표적 유전자 선별 키트 개발
 
 - 환자 유래 암 오가노이드 기반 유전체-임상연계 항암제 효능평가 플랫폼 구축"
9257,중소기업 대상  제주마씸 참여기업 모집,마감,판로,2016년 상반기 제주마씸 참여기업 모집공고,중소기업 대상  제주마씸 참여기업 모집,2016-07-05 ~ 2016-07-18,제주자치도경제통상진흥원(064-751-3310),제주지역에서 생산되는 농수축임산물 및 동 가공품,"ㅇ 지원내용
 
 - 공동상표 「제주마씸」사용권 부여
 
 - 국내외 판로개척 지원
 
 ㆍ 「제주마씸」공동전시판매장 입점 지원
 
 ㆍ 홈쇼핑, 대형마트 등 유통업체 협력사업 지원 등
 
 - 「제주마씸」 및 참여기업 홍보지원"
9258,초기창업기업 대상 창업맞춤형 사업화 지원,마감,창업,2016년 창업맞춤형 사업화 지원사업 창업기업 모집(기관맞춤형/2회차),초기창업기업 대상 창업맞춤형 사업화 지원,2016-07-01 ~ 2016-08-25,"창업진흥원 창업사업화부(042-480-4344~9,4367,4376)",3년 미만 창업기업,"ㅇ 지원규모 : 96개사(예정)
 

 ㅇ 지원기간 : 3년
 

 ㅇ 기본 지원사항
 
 - 사업모델(BM) 개발ㆍ구축 및 경영전략 멘토링
 
 - 사업아이템 검증 및 개발
 
 - 시장진입(개척 및 확대), 네트워킹
 
 - 투자유치 및 자금지원ㆍ연계"
9259,2016 우수 수탁기업협의회 포상,마감,인력,2016년 우수 수탁기업협의회 포상계획 연장 공고,2016 우수 수탁기업협의회 포상,2016-06-01 ~ 2016-07-22,"대중소기업협력재단 거래공정화부 송상배(02-368-8451, ssb@win-win.or.kr)",수탁기업협의회 운영 활성화에 기여한 기업 및 개인,ㅇ 포상시기 : ‘2016 동반성장주간 기념식’에서 시상(11월 예정)
9260,2016년 제3회 중소기업 융합대전 정부포상,마감,인력,2016년 제3회 중소기업 융합대전 정부포상 연장 공고,2016년 제3회 중소기업 융합대전 정부포상,2016-07-01 ~ 2016-07-15,중소기업융합중앙회(042-331-0579),교류ㆍ협업 활성화에 기여한 유공자,"ㅇ 일시 및 장소 : 2016. 10. 19(수) 14시, 서울 더K호텔(그랜드볼룸)
 

 ㅇ 주요행사
 
 - 개막식 : 교류ㆍ협업 활성화 유공자 시상식 등
 
 - 부대행사 : 컨퍼런스, 신사업 IDEA플라자, 우수사례경진대회, 수출상담회
 
 - 부스운영 : 교류ㆍ협업 우수사례 전시회
 

 ㅇ 포상종류 : 정부포상, 장관표창, 중소기업청장표창 등 53점"
9261,SW융합 분야 예비창업자 대상 글로벌 컨설팅 지원,마감,판로,2016년 글로벌 창업 전문 코디네이팅 신청자 모집 공고,SW융합 분야 예비창업자 대상 글로벌 컨설팅 지원,2016-07-05 ~ 2016-12-31,"인천정보산업진흥원 SW융합부 최진성 책임(032-723-9803, star@inis.or.kr)",인천광역시 소재 글로벌 창업 및 진출희망 SW융합 분야 예비창업자,"ㅇ 사업기간 : 2016. 6월 ~ 2016. 12월
 

 ㅇ 코디네이터란 : 글로벌 마케팅, 기술개발, 판로개척 등 분야의 전문가로 기업을 진단하고 집중관리 및 조언하여 솔루션을 제공
 

 ㅇ 지원내용 : 기업 진단 후 해당 분야의 전문 코디네이터 지원
 

 ㅇ 지원항목 : 마케팅, 기술개발, 법률, 판로개척, 지적재산권 등
 

 ㅇ 지원방법
 
 - 신청자 1 : 1 코디네이터 매칭(1인당 최대 6시간 범위 내 지원)"
9262,'2016 아프리카 종합 무역사절단' 참가 지원,마감,판로,2016년 아프리카 종합 무역사절단 참가업체 모집 공고,'2016 아프리카 종합 무역사절단' 참가 지원,2016-07-13 ~ 2016-07-27,중소기업진흥공단 수출협력팀 정하진(055-212-1377),경상남도 소재 수출 중소기업,"ㅇ 무역사절단 개요
 
 - 명칭 : 2016 경남 아프리카 종합 무역사절단
 
 - 기간 : 2016. 10. 16(일) ~ 10. 22(토), 4박 7일간
 
 - 장소 : 남아프리카공화국(요하네스버그), 탄자니아(다레살람)
 
 - 전시품목 : 종합
 

 ㅇ 지원범위 : 상담장 임차, 바이어 발굴비, 통역비 50%, 편도항공료(1사1인)"
9263,'2016년 충남 신기술개발 벤처창업 경진대회' 개최,마감,창업,2016년 창업ㆍ투자 전문기관협력 벤처창업 경진대회 공고,'2016년 충남 신기술개발 벤처창업 경진대회' 개최,2016-07-01 ~ 2016-08-12,"충남테크노파크 지역산업육성실 정준용 선임(041-589-0621, dracon21@ctp.or.kr)","충남소재 BI입주기업 및 예비창업자, 창업초기기업","ㅇ 지원내용
 
 - 창업초기기업의 신제품 개발 및 사업화자금 지원(시제품제작, 제품ㆍ포장, 지식재산, 디자인개발 지원(마케팅) 등)
 
 ㆍ 지원금액 : 선정된 기업당 10백만원 이내 /총 12 ~ 15기업 내외 지원
 
 - 경진대회 입상기업에 투자전문기관(VC)과 연계한 투자설명회 참가자격 부여(경진대회 개최후 9월중 개최예정)"
9264,초기창업기업 대상 사업모델 개발 및 사업화 지원,마감,판로,마을기반 사회적경제 예비주체 발굴을 위한 위키서울 스타트업 지원사업 추진계획 공고,초기창업기업 대상 사업모델 개발 및 사업화 지원,2016-07-04 ~ 2016-07-18,서울특별시 사회적경제지원센터 마을기업팀(070-4267-5035),"설립 2년 이내의 법인, 회사, 협동조합 및 주민단체","ㅇ 사업내용 : 시범 사업형 최대 600만원, 모델 개발형 최대 300만원 지원
 

 ㅇ 필수 수행과제
 
 - 약정 체결전 진행하는 의제발굴/지역자원조사 교육에는 각 단체별 2인 이상 필수 참석
 
 - 팀별 2회 이상 지역 네트워킹 행사
 
 - 사업보고서, 정산보고서 등의 제출 및 사업성과 발표
 
 - 마을기업 설립전교육 이수 (사전 이수자 제외)"
9265,인천형 예비사회적기업으로 지정,마감,판로,2016년 2차 인천형 예비사회적기업 지정 신청 공고,인천형 예비사회적기업으로 지정,2016-07-01 ~ 2016-07-15,인천지역 사회적기업 지원기관(032-715-5561),인천시내 사회적기업 인증요건을 갖춘 기업,"ㅇ 인천형 예비사회적기업이란?
 
 - 사회적목적실현, 영업 활동을 통한 수익창출 등 사회적기업 인증을 위한 인증요건을 갖추고 있으나 수익구조 등 일부요건을 충족하지 못하고 있는 기업(조직)을 인천광역시장이 지정․육성할 경우 예비사회적기업으로 지정하여 사회적기업 인증이 가능하도록 육성하는 기업(조직)을 의미함
 

 ㅇ 지정기간 : 지정일로부터 3년
 

 ㅇ 지정혜택
 
 - 시의 예비사회적기업 재정지원사업(일자리창출사업비, 사업개발비)의 공모에 참여자격 부여
 
 - 공공기관 우선구매 홍보, 경영컨설팅 및 정보 제공 등"
9266,예비사회적기업 대상 맞춤형 경영컨설팅 지원,마감,판로,2016년 예비사회적기업 경영코칭 지원사업,예비사회적기업 대상 맞춤형 경영컨설팅 지원,2016-07-04 ~ 2016-07-15,"사회적기업연구원 사회적기업지원팀(051-517-0266, kdu@rise.or.kr)",부산권역 예비사회적기업,"ㅇ 지원내용 : 전문가 경영코칭 3일 자문료(자부담 없음)
 

 ㅇ 지원방법 : 경영자문단(전문가 POOL)이 예비사회적기업으로 직접 방문하여 기업진단 후 해당분야에 집중적으로 경영코칭 진행
 

 ㅇ 지원범위 : 경영전반 코칭(3일 이내에 수행 가능한 범위로 한정)
 
 - 사업계획 수립, 경영환경 분석, 홍보/마케팅 전략, 지원제도 활용, 사업타당성 분석, 네트워크 구축 등"
9267,'2016 한ㆍ중ㆍ일 산업박람회' 참가 지원,마감,판로,2016년 한ㆍ중ㆍ일 산업박람회 참가업체 모집 공고(생활세라믹스 해외판로 지원사업),'2016 한ㆍ중ㆍ일 산업박람회' 참가 지원,2016-07-01 ~ 2016-07-06,"한국세라믹기술원 기업협력센터(055-792-2767, changbo@kicet.re.kr)","국내 생활세라믹 및 인테리어용, 기타생활밀착형 세라믹분야 제품 생산 기업","ㅇ 전시회 개요
 
 - 명칭 : 2016 한ㆍ중ㆍ일 산업박람회(China, Japan and ROK Industries Expo 2016)
 
 - 기간 : 2016년 9월 23일(금) ~ 9월 25일(일) 3일간
 
 - 장소 : 산둥성 웨이팡시 국제컨벤션센터(중국)
 
 - 규모 : 전시면적 30,000㎡
 

 ㅇ 모집기업 : 5개
 

 ㅇ 지원내용
 
 - 전시회부스비, 부대시설비, 국제운송비등 제반 소요비용 지원(KICET지원)
 
 - 참여기업 대표(담당)자 1인 항공비, 숙식지원(한화국제무역유한공사 지원)"
9268,우수 융복합 공연 콘텐츠 제작 지원,마감,판로,2016년 2차 우수 융복합 공연 콘텐츠 제작 단계별 지원사업 공고(cel 스테이지 RISING STAR),우수 융복합 공연 콘텐츠 제작 지원,2016-07-20 ~ 2016-08-10,"한국콘텐츠진흥원 cel 인프라지원팀 김희종 주임(02-6441-3605, heejong-kim@kocca.kr)","융복합 공연 기획, 제작이 가능한 전 분야의 공연단체 및 기획사(사업자)","ㅇ 지원분야 : 콘텐츠, 문화예술 등 융복합 공연 가능한 전 분야
 

 ㅇ 지원기간 : 2016. 9 ~ 2017. 4 (8개월)
 

 ㅇ 지원내용
 
 - 융복합 공연 콘텐츠 제작비(국고)
 
 - 제작 수행기관 소속 참여인력 자체 인건비 (자부담)"
9269,‘유럽 스포츠용품 해외로드쇼’ 참가 지원,마감,판로,2016년 스포츠용품 해외로드쇼(수출상담회) 참가기업 모집 연장 공고,‘유럽 스포츠용품 해외로드쇼’ 참가 지원,2016-07-04 ~ 2016-07-08,국민체육진흥공단 시장개척팀(02-970-9665),스포츠용품 제조기업,"ㅇ 해외로드쇼 개최계획
 
 - 개최일정 : 2016. 10. 11(화) ~ 10. 19(수) / 7박 9일  ※ 세부일정은 파견기업 선정 후 안내
 
 - 개최지역 : 독일(함부르크), 벨기에(브뤼셀), 그리스(아테네)
 
 - 파견규모 : 7개사 내외
 

 ㅇ 지원내용
 
 - 현지 수출상담회 및 개별 방문상담 지원
 
 - 바이어 조사 및 상담주선, 편도운송비(1cbm), 현지 교통, 전담 상담통역 등 지원"
9270,중소ㆍ중견 제조기업 대상 스마트공장 솔루션 구축 및 컨설팅 지원,마감,R&D,2016년 3차 지역특화산업 공정혁신지원 및 스마트공장 확산사업 참여기업 모집 공고,중소ㆍ중견 제조기업 대상 스마트공장 솔루션 구축 및 컨설팅 지원,2016-07-04 ~ 2016-07-15,"(재)경남테크노파크 최민기 전임연구원(055-259-5018, baekrim79@gntp.or.kr)",경남에 위치한 항공산업 및 전ㆍ후방 연관 산업의 중소ㆍ중견 제조기업,"ㅇ 지원내용 : 생산공정 개선과 품질관리를 위한 스마트공장 솔루션구축 등
 
 - 참여기업에 대한 제조공정 분석 후 기업현장 및 수전에 따라 맞춤형으로 지원, ‘스마트공장의 수준별 구현 형태’ 중 기초~중간1단계를 중점적으로 지원
 

 ㅇ 지원규모 : 국비 최대 5천만원이하 지원
 

 ㅇ 지원기간 : 협약체결일 ~ ‘16. 12월말 이내"
9271,중소ㆍ중견기업 대상 웰니스식품 수혜기업 모집,마감,"R&D,판로",2016년 2차 지역주력산업육성사업(웰니스식품) 수혜기업모집 재공고,중소ㆍ중견기업 대상 웰니스식품 수혜기업 모집,2016-07-04 ~ 2016-07-15,"재)강릉과학산업진흥원 정재형(033-650-3370, jjhtwins@hanmail.net)",강원지역 내에 소재한 주력산업(웰니스식품) 전ㆍ후방 연관 제품ㆍ기술 분야 중소ㆍ중견기업,"ㅇ 세부사업내용
 
 - 품질 및 제품경쟁력 향상을 위한 인증지원
 
 - 국내외 시장주도를 위한 품질개선"
9272,2016년 전략산업 분야 해외전시(박람)회 개별 참가기업 모집,마감,판로,시흥시 2016년 전략산업 분야 해외전시(박람)회 개별 참가기업 모집 재공고,2016년 전략산업 분야 해외전시(박람)회 개별 참가기업 모집,2016-07-18 ~ 2016-07-22,시흥산업진흥원 전략산업팀 최지연 책임연구원(070-7784-3186),시흥시 소재 전략산업분야 중소기업,"ㅇ 지원한도 : 기업당 최대 4,300(천원)
 

 ㅇ 지원내용 : 해외전시회 개별 참가비 일부 지원
 
 - 지원범위 : 등록비, 부스임차료(3mx3m기준), 장치비, 설비비 등
 
 - 지원규모 : 참가비의 60% 내외, 총 5개사 내외"
